person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Vasilica Dima,vasilicadima,vasilicadima@141.ro,8540421015506,2023-11-17,"Intrarea Dana Marin Nr. 39 Bl. 51  Sc. 84 Ap. 924, Filiasi, 641499",0258 093 947,85:c8:88:2c:c3:c4,89.226.231.185,RO48ICJP2305026434171368,2025-07-07 11:46:02,4010,374,228,1368168,51c8f1ba-d05d-4524-90fa-860d42519adb
Maximilian Eftimie,maximilianeftimie,maximilianeftimie@email.ro,8760417466000,1996-02-13,"Soseaua Andrian Albu Nr. 251 Bl. 20  Sc. 64 Ap. 958, Domnesti, 743028",0732 639 812,9a:5a:ba:64:fa:f4,67.6.39.248,RO67OUPA7844170400980183,2025-07-07 11:46:02,18071,691,21,382948,6ce00833-4da8-45c8-a48f-db76178423c0
Irinel Cristea,irinelcristea,irinelcristea@acasa.ro,2701212427871,1959-10-26,"Soseaua Suciu Nr. 70, Dej, 520234",0261 549 050,55:54:d1:15:43:d0,26.96.156.13,RO60OPRQ0675527324019726,2025-07-07 11:46:02,15394,941,600,1085133,f66271c6-8967-4995-964b-51d6e267857e
Ruxandra Diaconescu,ruxandradiaconescu,ruxandradiaconescu@gmail.com,7640930371448,1933-03-23,"Aleea Florin Diaconescu Nr. 35 Bl. 86  Sc. 61 Ap. 182, Videle, 267527",0264 096 622,f1:b5:66:7b:88:85,71.253.104.220,RO88FKAD5725962248974146,2025-07-07 11:46:02,10825,930,164,268391,006b3d4a-a5f0-4fd1-92c6-1915eedcf0cf
Rareș Suciu,rareșsuciu,rareșsuciu@gmail.com,4050716409991,1964-10-27,"Soseaua Didina Niță, Ineu, 850974",0723 459 027,fa:b6:27:8c:84:55,47.251.1.238,RO55EUPE2484246905223964,2025-07-07 11:46:02,31578,622,518,1559339,e8d9ebda-44ed-45bf-b2b1-86ec9484f720
Antoniu Georgescu,antoniugeorgescu,antoniugeorgescu@kappa.ro,8810518279321,1934-06-07,"Soseaua Barbu Nr. 31 Bl. 75  Sc. 84 Ap. 111, Hateg, 201326",0772 956 167,6a:cd:08:1f:57:af,209.121.144.8,RO34HDGO3076631847487205,2025-07-07 11:46:02,24401,1000,178,1672057,4b2f55dd-ab11-43bc-befe-b796b93d6b8d
Arian Stan,arianstan,arianstan@gmail.com,8800827345832,2005-01-28,"Bulevardul Marin Barbu Nr. 934, Seini, 572383",0258 743 934,df:3c:f3:55:1b:0c,119.61.157.102,RO12XFNW4888615389150905,2025-07-07 11:46:02,21676,895,778,1723220,2916bbd5-3e07-4389-ac53-7d4df87b5142
Niculina Dochioiu,niculinadochioiu,niculinadochioiu@141.ro,8350613191483,1998-04-25,"Bulevardul Augustina Toma Nr. 532, Mioveni, 121150",0728 423 570,26:20:41:86:28:e6,48.221.182.160,RO94CDDO4316327047945430,2025-07-07 11:46:02,31234,322,447,688513,4055e2a0-42fc-4406-a490-1556bf410546
Emil Mazilescu,emilmazilescu,emilmazilescu@gmail.com,2880731058452,2020-10-19,"Strada Eftimie, Sannicolau Mare, 809503",0727 822 741,ae:af:a9:d6:02:06,95.158.146.103,RO59BVKA4048209262063447,2025-07-07 11:46:02,14546,793,160,1257932,24aeb38e-5209-41ce-b23f-2f1dfe511f04
Venera Marin,veneramarin,veneramarin@zzup.ro,7810330411445,2020-04-12,"Soseaua Dochioiu Nr. 740, Negresti-Oas, 709750",0259 711 864,22:f6:30:8c:cf:ce,161.51.200.144,RO97ZTJV2842083600180671,2025-07-07 11:46:02,23739,824,254,1131326,746fcf6d-be91-4ad1-92be-219d0b75f482
Eusebia Dinu,eusebiadinu,eusebiadinu@141.ro,6670518082127,2010-10-04,"Strada Floriana Diaconu Nr. 49 Bl. 41  Sc. 52 Ap. 650, Raducaneni, 234816",0759 073 192,f0:d7:97:16:8a:ad,28.75.57.202,RO26SNIS4975401657536517,2025-07-07 11:46:02,5208,87,468,1607807,353677ff-794f-443b-8822-5e5377ae6070
Georgian Ionescu,georgianionescu,georgianionescu@zzup.ro,3180214193672,1943-10-29,"Strada Ardelean Nr. 99 Bl. 51  Sc. 42 Ap. 125, Matca, 292945",0261 260 997,62:64:68:ff:2e:79,130.93.68.213,RO41RFLD4298189478587969,2025-07-07 11:46:02,7580,482,671,1992500,a5a4a344-dcd8-4d2c-a8c5-2d1a01fab06b
Theodor Eftimie,theodoreftimie,theodoreftimie@email.ro,7520702396803,2014-01-14,"Drumul Pop, Oradea, 753537",0729 909 908,d0:cf:8c:44:e9:be,142.235.65.254,RO61TEWY9093807657563614,2025-07-07 11:46:02,785,447,173,1666616,4780e6dc-f4c4-43c7-84ba-986b9abccc00
Alida Pușcașu,alidapușcașu,alidapușcașu@kappa.ro,5601212087657,1982-09-19,"Bulevardul Albu Nr. 581 Bl. 33  Sc. 76 Ap. 179, Balan, 476143",0259 659 710,7d:4f:58:ae:87:01,160.90.254.144,RO95PDNS0155358097056987,2025-07-07 11:46:02,7078,129,74,1110943,585ba9fd-58b6-4406-82bf-a5bb213b4d46
Vlădelina Niță,vlădelinaniță,vlădelinaniță@email.ro,2280520244859,1931-07-31,"Drumul Sânziana Ionescu, Insuratei, 467197",0237 075 197,3b:fe:89:b5:92:12,215.227.255.141,RO31RVBN3374359529673533,2025-07-07 11:46:02,29246,980,154,1237642,35c752f9-4939-4b7a-a72c-76d70bb0eb73
Cezar Gheorghiu,cezargheorghiu,cezargheorghiu@141.ro,2801019036754,1992-04-08,"Aleea Nistor Nr. 695, Victoria, 140065",0748 797 702,ed:1e:c2:b3:63:d0,99.220.3.131,RO80BJTN6646378235489439,2025-07-07 11:46:02,6258,622,3,360508,bf7e584f-24e7-4548-aa6a-50468882bda4
Ioan Popescu,ioanpopescu,ioanpopescu@acasa.ro,1980214454078,1916-11-03,"Intrarea Aanei, Lupeni, 458120",0247 387 328,0b:b9:06:a7:0c:93,35.25.203.181,RO11UMTL2139818558743772,2025-07-07 11:46:02,17559,199,597,790955,1257f91f-9c4b-4895-b8bf-522d6fce30e8
Haralamb Nistor,haralambnistor,haralambnistor@zzup.ro,1040904259684,1993-09-15,"Soseaua Albu Nr. 991 Bl. 10  Sc. 35 Ap. 915, Dobroesti, 678936",0236 426 826,8b:1f:ac:5c:1e:8e,125.214.94.167,RO54IQPP7579573913428828,2025-07-07 11:46:02,20142,814,748,1693344,e1fef8fb-dfa1-4f69-8d1e-37c5202587d5
Viviana Popa,vivianapopa,vivianapopa@gmail.com,2501030252221,1995-10-30,"Drumul Diaconu, Ramnicu Sarat, 948566",0265 461 594,9a:46:cd:83:d1:39,106.48.107.77,RO37SHVX5485526008903594,2025-07-07 11:46:02,25283,920,70,1880329,e37828cf-f7ee-4c1f-a5d7-6cb1e5eb5d59
Didina Ene,didinaene,didinaene@email.ro,8340709118716,2000-07-17,"Bulevardul Teea Mazilescu, Breaza de Sus, 804934",0256 879 271,ea:5c:45:b1:8c:46,29.132.240.85,RO46GZAB1726766343193405,2025-07-07 11:46:02,8627,581,12,445549,c45a5b1a-1849-4ea3-ab02-69088cd0d204
Paraschiva Marin,paraschivamarin,paraschivamarin@141.ro,6580711023071,1918-11-13,"Bulevardul Eftimie Nr. 193 Bl. 69  Sc. 53 Ap. 948, Botosani, 148978",021 091 7734,d7:bf:a9:f7:0e:73,131.95.199.240,RO37BATL6581243627216456,2025-07-07 11:46:02,6487,356,99,1379008,b25078d5-5f9d-411c-9ca2-b565a66348ae
Valentina Ardelean,valentinaardelean,valentinaardelean@kappa.ro,5751113211394,1945-09-22,"Strada Stan, Sangeorgiu de Mures, 731535",0739 335 746,3f:9a:94:64:8d:2f,177.114.244.179,RO52HYZR3416251208710432,2025-07-07 11:46:02,28058,914,16,1173204,bc76761c-b861-4d8b-b8bf-80f31ed01d93
Ilarie Suciu,ilariesuciu,ilariesuciu@email.ro,3991031324678,1975-03-22,"Aleea Stan Nr. 904 Bl. 42  Sc. 27 Ap. 257, Cristuru Secuiesc, 689773",0747 859 503,bc:4e:62:bc:85:4c,38.226.37.163,RO31WSRL0123988011084845,2025-07-07 11:46:02,22335,229,183,56614,bdcfcdac-3b8d-4597-a19d-0fdee3baab30
Loredana Stoica,loredanastoica,loredanastoica@email.ro,2400827427469,1949-06-01,"Aleea Cristofor Pop, Gilau, 962309",0243 886 513,75:af:62:eb:ab:83,61.88.220.79,RO27YSVK7562839807514004,2025-07-07 11:46:02,4314,559,22,1594292,4ef361a7-0648-439a-a013-417dc5bea573
Luana Manole,luanamanole,luanamanole@141.ro,1141106085667,2020-07-25,"Drumul Tabacu Nr. 531 Bl. 64  Sc. 81 Ap. 904, Ineu, 528685",0765 563 568,cb:08:fe:25:80:cb,140.176.208.207,RO34FTFG5381956031243791,2025-07-07 11:46:02,2715,560,35,1743216,f99628bb-37e3-4ba0-b419-c3d756b34c13
Timotei Preda,timoteipreda,timoteipreda@141.ro,3170717181258,2023-06-14,"Intrarea Niculiță Eftimie, Gilau, 967804",0723 297 277,b0:55:9f:a9:58:02,42.44.183.174,RO17LSDD3316132717843971,2025-07-07 11:46:02,16845,762,21,1226576,c25dca43-401a-45f0-827c-f54066480086
Anaida Dumitrescu,anaidadumitrescu,anaidadumitrescu@zzup.ro,8140809424851,1956-11-14,"Intrarea Ene Nr. 21, Vaslui, 797182",0252 822 402,ed:63:92:c8:22:a6,218.30.210.159,RO50FTUY3197479607131989,2025-07-07 11:46:02,30688,274,662,1814311,e6e61507-c363-4ed7-8cec-35376780a7aa
Petronela Dima,petroneladima,petroneladima@kappa.ro,1340927446574,1951-12-20,"Aleea Eftimie, Tasnad, 899797",0764 114 269,1f:d4:ce:4d:c6:6d,89.69.234.199,RO35JMBU1880914410088362,2025-07-07 11:46:02,6878,642,222,448534,f4244726-23fd-4b1f-a68e-5083b1e4d0b3
Aida Nistor,aidanistor,aidanistor@email.ro,2881003276326,1936-09-05,"Strada Ludovic Nemeș Nr. 648, Intorsura Buzaului, 171559",0741 082 989,36:c7:d6:5a:9b:90,199.7.181.172,RO68VJSZ8630811962748284,2025-07-07 11:46:02,24257,543,439,980615,c464a77a-1ee2-4d2f-9353-1c82bdf005dc
Luciana Preda,lucianapreda,lucianapreda@zzup.ro,4760114252342,1948-05-22,"Aleea Preda, Copsa Mica, 234523",0770 753 619,88:49:d9:c0:d5:c4,108.164.131.221,RO07JUPY1935061346096435,2025-07-07 11:46:02,28878,46,419,302638,9fd2f714-15c5-4e8b-a4cd-30d2cc0389c3
Mitică Ababei,miticăababei,miticăababei@kappa.ro,4680813105526,1939-08-23,"Aleea Adonis Marin Nr. 746, Otelu Rosu, 873742",0237 363 685,b9:2d:ae:32:bc:00,110.113.8.160,RO72UYIT2301231657497908,2025-07-07 11:46:02,8373,5,208,1272678,b361c9ba-7142-46f9-8f90-091fbb652467
Anghelina Dobre,anghelinadobre,anghelinadobre@zzup.ro,1471218073226,2017-10-16,"Strada Dochioiu, Petrosani, 655588",0241 872 943,32:14:6e:69:41:f2,175.30.71.161,RO77YFVG6017475228993010,2025-07-07 11:46:02,28299,990,454,1271091,aace86de-4b51-4ce0-843c-e3156cc03830
Dan Diaconescu,dandiaconescu,dandiaconescu@gmail.com,6401130197289,1996-01-04,"Intrarea Gențiana Preda, Bocsa, 870300",0728 834 104,26:d7:67:01:8a:33,62.78.18.125,RO31BEBS8109272561765837,2025-07-07 11:46:02,18684,136,641,65640,91e46c48-c219-4a87-981d-2f27d93c54e4
Teodosia Barbu,teodosiabarbu,teodosiabarbu@post.ro,2991219251061,2016-06-23,"Drumul Stoica Nr. 573, Miercurea-Ciuc, 208868",0238 970 010,5b:24:11:c0:ac:8f,214.182.53.251,RO92VTXU5476796053821876,2025-07-07 11:46:02,11215,297,626,178373,e270848d-0748-48a9-b782-2d1c0d0b300a
Daniel Barbu,danielbarbu,danielbarbu@kappa.ro,2530528152401,1935-05-31,"Bulevardul Anca Popescu Nr. 852, Jimbolia, 251310",0788 163 755,0d:e8:c2:08:4b:53,180.254.37.218,RO85ORVG1100227190616563,2025-07-07 11:46:02,34317,262,163,1099141,31ee40fc-53eb-4bfd-9054-844726135ea6
Alistar Dumitrescu,alistardumitrescu,alistardumitrescu@zzup.ro,4750803417906,1951-06-22,"Bulevardul Diaconu, Marghita, 721701",0242 887 354,cd:a1:38:09:eb:8a,179.243.20.2,RO86XXLX1334099269077005,2025-07-07 11:46:02,35623,512,322,691918,7f3d713f-44ce-4597-82a7-4bef715614f0
Ieremia Diaconescu,ieremiadiaconescu,ieremiadiaconescu@email.ro,3140826261380,1918-11-03,"Strada Manole, Calarasi, 278087",0235 844 845,42:6b:1f:54:3e:14,142.215.197.67,RO27CVBU9937714950782030,2025-07-07 11:46:02,17054,340,570,207550,bd88704c-cae8-47a9-91ca-9f9e9c6e46b4
Natașa Mazilescu,natașamazilescu,natașamazilescu@email.ro,1240401225593,1935-01-27,"Drumul Sandu Stănescu, Raducaneni, 722782",0245 911 884,f9:6a:be:47:dc:82,40.75.205.226,RO16SAVZ7598263624968529,2025-07-07 11:46:02,25521,383,576,383068,ecc01585-1a43-485e-89be-60f3b405aec7
Axinte Aanei,axinteaanei,axinteaanei@gmail.com,2520905223892,1926-08-01,"Bulevardul Marin, Maieru, 173354",0788 664 615,b6:66:96:e6:48:3e,139.7.161.241,RO91QPEN7716869077490183,2025-07-07 11:46:02,11064,500,109,254235,e802f8c2-4be8-4748-a581-6b26ace96070
Lorin Ionescu,lorinionescu,lorinionescu@kappa.ro,6350930233322,1944-02-28,"Intrarea Isabela Niță Nr. 86, Diosig, 805976",0765 413 429,95:6d:f2:ef:fc:86,85.150.113.208,RO47PVFP6691160756715376,2025-07-07 11:46:02,24188,581,310,1772378,ab763e06-fe72-46bc-9b84-41d1155ed003
Casian Stancu,casianstancu,casianstancu@gmail.com,2710428386904,1976-02-14,"Bulevardul Dumitrescu, Dragasani, 503130",0755 896 926,3b:be:f8:3c:f0:e7,60.214.56.9,RO44ZXXQ2694407906787670,2025-07-07 11:46:02,10471,855,544,231689,14113c8e-6a38-4c64-ac78-f8cab907d768
Izabela Ionescu,izabelaionescu,izabelaionescu@zzup.ro,4670510524829,1922-03-12,"Strada Manole, Miercurea-Ciuc, 222564",0750 571 926,10:36:5d:78:b1:86,174.60.138.17,RO92AXTZ7485338209151259,2025-07-07 11:46:02,26110,314,545,1656905,f54dc813-b8af-4d8d-9bbe-204300f0a4e7
Mihaela Popescu,mihaelapopescu,mihaelapopescu@gmail.com,6611022357067,2011-07-11,"Bulevardul Marin, Ploiesti, 414107",0763 131 220,cd:cc:91:7c:53:66,135.239.93.151,RO42RBGN2515218680008171,2025-07-07 11:46:02,29300,244,530,847099,8f1a0196-3b62-4941-b1fe-bc2205868326
Astrid Toma,astridtoma,astridtoma@gmail.com,5701223388091,1909-11-22,"Aleea Sinică Popa Nr. 713 Bl. 80  Sc. 23 Ap. 315, Boldesti-Scaeni, 121220",0750 779 987,07:5d:1e:b0:ae:46,116.74.178.91,RO87SKPJ2972136756155896,2025-07-07 11:46:02,6707,463,303,239773,466ecbb0-e28a-4589-b105-fe6dbc92697f
Beatrice Aanei,beatriceaanei,beatriceaanei@kappa.ro,5130208046704,1968-12-20,"Intrarea Popa Nr. 95 Bl. 41  Sc. 29 Ap. 117, Tunari, 258109",0253 062 812,c1:b0:db:23:6a:a0,4.176.115.179,RO92OODK7700986713483696,2025-07-07 11:46:02,27068,803,677,1418501,3d30fe98-bb63-4e4e-8564-cad45e42fbd4
Marinela Popescu,marinelapopescu,marinelapopescu@email.ro,6730622045568,2023-02-11,"Bulevardul Dinu Nr. 287, Uricani, 537160",0265 756 964,e9:c7:bb:15:b6:18,133.101.83.46,RO82PDJT1275773235733101,2025-07-07 11:46:02,28090,799,302,124465,bd3f40c3-4350-4951-972a-33fe1cbb0d0f
Mariana Eftimie,marianaeftimie,marianaeftimie@141.ro,2731227451278,2002-01-11,"Aleea Ligia Nemeș Nr. 83, Rosu, 939756",0753 484 351,0d:c0:cc:93:c0:14,3.152.94.94,RO29UJCT7931194635043735,2025-07-07 11:46:02,20604,626,618,212748,de3ed2c6-ea14-48cc-9adc-4dd8b8a2d5fe
Theodor Mocanu,theodormocanu,theodormocanu@email.ro,4580818286958,2003-05-14,"Strada Dinu Nr. 418, Resita, 198434",0233 034 179,99:ce:18:82:e0:9d,51.116.155.16,RO16AHBU1684881269938126,2025-07-07 11:46:02,19924,724,506,1645771,17787472-fb40-44fe-88b3-78ba9acc30cd
Gherghina Manole,gherghinamanole,gherghinamanole@gmail.com,7831025208657,1913-01-11,"Strada Ghiță Nemeș, Carei, 806577",0733 702 621,3c:a6:be:97:4b:6d,88.239.214.252,RO75PNJQ2165356411676948,2025-07-07 11:46:02,16161,714,377,1164493,8a868ffc-3522-4b0f-87fb-2166828f71ee
Cornelia Popa,corneliapopa,corneliapopa@141.ro,6610309123181,2013-03-09,"Aleea Ioniță Nr. 101, Voluntari, 245277",0747 812 134,12:4b:03:2a:9d:5d,125.147.76.54,RO69EBMZ8238204532689913,2025-07-07 11:46:02,15271,881,688,1365032,111311dc-3c67-4a56-9012-8a4774bb3dfc
Maricica Popa,maricicapopa,maricicapopa@141.ro,6640406123761,2017-03-12,"Strada Ardelean Nr. 56, Toflea, 353929",0249 472 119,e3:17:15:08:02:7d,52.23.242.129,RO19IVBV0477908490796641,2025-07-07 11:46:02,27529,762,354,1273336,83540ed8-0519-474f-986d-bb8a409a89f0
Rafael Ababei,rafaelababei,rafaelababei@acasa.ro,7510120288659,1953-05-28,"Strada Dinu Nr. 898, Toflea, 559976",0251 945 493,50:f0:c0:d8:b7:2f,216.126.69.3,RO84UQET2196920409036781,2025-07-07 11:46:02,5417,458,543,386108,53e5be42-2869-4ba7-b959-8c64ad7ccb3b
Marioara Mazilescu,marioaramazilescu,marioaramazilescu@email.ro,2780610370411,1995-11-22,"Bulevardul Stancu Nr. 71 Bl. 48  Sc. 45 Ap. 630, Matca, 419069",0742 987 347,18:65:58:fe:b0:0f,207.103.222.170,RO37DKUP2960516023631656,2025-07-07 11:46:02,6111,1000,38,1734624,a2f83bdc-5ae2-4c35-a8c8-6b5429d5d199
Lorena Dumitrescu,lorenadumitrescu,lorenadumitrescu@141.ro,7321028260443,1995-11-15,"Intrarea Nistor Nr. 69 Bl. 30  Sc. 38 Ap. 610, Baia Mare, 895052",0747 517 748,69:37:a4:c6:39:e3,93.175.65.166,RO60JEBC5387496368176570,2025-07-07 11:46:02,26077,545,291,131316,cf29beb8-6e76-4831-a696-64f0560b1172
Eliza Popescu,elizapopescu,elizapopescu@acasa.ro,4510526034096,2009-09-10,"Intrarea Silviana Pușcașu, Sebis, 364043",0266 281 547,be:a3:2f:50:10:d2,103.237.207.39,RO36OGTH8029536919116110,2025-07-07 11:46:02,32063,471,561,761929,8550e2bd-fd2a-4f9e-a191-eeb88d7f06de
Dorli Florea,dorliflorea,dorliflorea@kappa.ro,6690501375825,2020-08-26,"Aleea David Voinea Nr. 75, Buhusi, 917698",0240 605 670,0c:44:86:32:a7:38,82.7.254.78,RO24DBBV0364178155180282,2025-07-07 11:46:02,27575,312,379,1407048,6ac8ac67-dcbe-430d-9823-87a1b0981676
Iacob Gheorghiu,iacobgheorghiu,iacobgheorghiu@gmail.com,2760930357894,2019-10-21,"Intrarea Gheorghiu, Lumina, 773870",0244 120 510,61:17:fc:15:aa:8b,5.216.177.183,RO75DHWL1662887704368534,2025-07-07 11:46:02,26691,779,104,438951,adccb14a-c37f-4e7f-8f6c-d97005b900c0
Tamara Marin,tamaramarin,tamaramarin@zzup.ro,6801207266863,1916-06-20,"Intrarea Georgescu, Sabaoani, 347038",0760 116 190,89:3b:9c:d1:49:27,49.2.201.11,RO30XLNR4396076166461979,2025-07-07 11:46:02,16487,270,518,672344,8a67252a-5a1b-49da-8d69-7d76b1ae26e5
Cristobal Tudor,cristobaltudor,cristobaltudor@post.ro,1120522173449,2003-11-07,"Soseaua Iustin Ababei Nr. 898 Bl. 83  Sc. 70 Ap. 784, Sebis, 232026",0756 421 384,b2:ca:64:62:40:c7,206.234.138.89,RO88DEBY3494328658858696,2025-07-07 11:46:02,22681,724,152,1160124,f69c715c-8a18-4cbe-a007-84e7b405de7e
Vanesa Nistor,vanesanistor,vanesanistor@kappa.ro,5350730338503,2013-11-27,"Strada Marin Nr. 838 Bl. 21  Sc. 38 Ap. 118, Blaj, 224592",0259 718 399,4d:72:6d:c6:d9:db,75.162.29.11,RO69TFQA6413001385697986,2025-07-07 11:46:02,31810,326,658,1294007,476f9755-b655-4664-86bb-1544b6a138c3
Octavian Dima,octaviandima,octaviandima@kappa.ro,6651104216732,1918-06-06,"Bulevardul Dochioiu Nr. 685, Lugoj, 587547",0233 906 509,45:a8:8c:6b:d7:f3,23.144.81.251,RO35RJMF1772408341677630,2025-07-07 11:46:02,7378,204,531,1544800,146ceffd-6e93-4690-9534-7550aaeab43b
Geanina Pușcașu,geaninapușcașu,geaninapușcașu@gmail.com,6411118277499,1993-04-20,"Strada Diaconescu Nr. 12, Filiasi, 978273",0725 723 104,9b:65:01:df:e5:9c,84.141.160.57,RO45PUPF3019638736671061,2025-07-07 11:46:02,34981,307,778,139448,c0f62825-a421-40fe-a983-e8b6818fa323
Marcu Dumitrescu,marcudumitrescu,marcudumitrescu@acasa.ro,3200712235881,1960-04-24,"Soseaua Cristina Pop Nr. 47, Aiud, 150985",0780 403 989,32:bb:e7:b9:32:4f,59.158.54.100,RO24WYNY2685455977082756,2025-07-07 11:46:02,19941,308,420,1937613,861e0f4c-22c0-40e1-8e9b-e1e54ae1554a
Fiodor Popa,fiodorpopa,fiodorpopa@zzup.ro,8440211391675,1932-11-20,"Bulevardul Manole Nr. 142, Barlad, 956404",0742 656 040,06:8f:ff:75:36:12,27.162.226.203,RO58LHAA7573495774424437,2025-07-07 11:46:02,34608,624,206,713779,ef109150-b08a-492d-bb96-191ec4588351
Antoniu Pușcașu,antoniupușcașu,antoniupușcașu@acasa.ro,4230105445236,2018-10-29,"Bulevardul Iustin Gheorghiu, Motru, 778271",0254 673 542,82:75:90:1b:01:c3,181.34.75.29,RO60JOTM8526562146574967,2025-07-07 11:46:02,3341,774,553,1541915,57602b26-a36b-4242-a13b-a6d3b044b033
Bernard Suciu,bernardsuciu,bernardsuciu@141.ro,8490208157496,1998-01-26,"Aleea Damian Tomescu Nr. 73, Targu Secuiesc, 485094",0253 550 207,59:21:3f:53:c5:fd,176.81.15.46,RO95QRGW5190886445314403,2025-07-07 11:46:02,27071,795,428,928791,501a4f99-dfec-488d-8720-4e819cb8ef97
Mircea Ioniță,mirceaioniță,mirceaioniță@post.ro,5391208229096,1972-04-09,"Soseaua Nistor Nr. 498 Bl. 64  Sc. 58 Ap. 174, Bumbesti-Jiu, 964095",0750 019 598,ad:da:0e:66:e8:d5,40.191.241.186,RO32UDLJ7722676302676133,2025-07-07 11:46:02,12865,968,127,631135,2d679efd-4245-4495-9d64-75f6af357f4f
Dora Gheorghiu,doragheorghiu,doragheorghiu@zzup.ro,5940426139514,1921-11-07,"Drumul Aanei Nr. 333 Bl. 80  Sc. 62 Ap. 768, Talmaciu, 363874",0238 449 422,37:e6:d2:c8:18:c8,207.200.20.202,RO54UUNG3801459481871256,2025-07-07 11:46:02,26327,529,121,29830,8d9e5d11-53f4-4e3e-8560-bc6985a89bae
Bogdan Toma,bogdantoma,bogdantoma@post.ro,2040826306470,1994-12-03,"Soseaua Cristea Nr. 91 Bl. 76  Sc. 39 Ap. 663, Toflea, 196750",0726 782 472,88:ce:89:29:18:4f,132.210.52.167,RO11EDGY1483172076605087,2025-07-07 11:46:02,17744,621,233,1169282,3d369edd-16c8-4c02-8df1-913b4a0cbd98
Irina Ioniță,irinaioniță,irinaioniță@post.ro,7641205313758,1957-07-31,"Aleea Tudor Nr. 954 Bl. 21  Sc. 52 Ap. 317, Valu lui Traian, 856644",0723 279 953,bb:1e:29:65:7b:28,62.53.98.191,RO37JUVI5960962405604635,2025-07-07 11:46:02,25461,760,213,1692361,127689ff-0866-49a2-943d-c66adb43ff55
